product_id,default_code,reference,source_filename,source_jpeg_path,shop_tile_status,shop_tile_recipe_version,shop_tile_source_run,shop_tile_moa_note
7,,Maniocookies salés La Platine,01_product-7_maniocookies-sales-la-platine.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/01_product-7_maniocookies-sales-la-platine.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
8,,Crackers manioc Sainte-Anne,02_product-8_crackers-manioc-sainte-anne.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/02_product-8_crackers-manioc-sainte-anne.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
155,,Shrub agrumes créole,06_product-155_shrub-agrumes-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/06_product-155_shrub-agrumes-creole.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
163,,Mix beignets manioc,14_product-163_mix-beignets-manioc.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/14_product-163_mix-beignets-manioc.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
183,,Chips banane plantain salées,22_product-183_chips-banane-plantain-salees.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/22_product-183_chips-banane-plantain-salees.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
187,,Marinade jerk authentique,26_product-187_marinade-jerk-authentique.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/26_product-187_marinade-jerk-authentique.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
,CK-MO-031,Marinade jerk citron vert,31_ck-mo-031_marinade-jerk-citron-vert.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/31_ck-mo-031_marinade-jerk-citron-vert.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
,CK-MO-033,Palettes coco vanille,33_ck-mo-033_palettes-coco-vanille.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/33_ck-mo-033_palettes-coco-vanille.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
,CK-MO-034,Chips patate douce créole,34_ck-mo-034_chips-patate-douce-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/p8_packshot_alpha_20260520/output/png/34_ck-mo-034_chips-patate-douce-creole.png,validated,ck_shop_tile_v1.2-alpha,p8_packshot_alpha_20260520,P8-1b validé MOA — packshot alpha (9)
