product_id,default_code,reference,source_filename,source_jpeg_path,shop_tile_status,shop_tile_recipe_version,shop_tile_source_run,shop_tile_moa_note
7,,Maniocookies salés La Platine,01_product-7_maniocookies-sales-la-platine.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/01_product-7_maniocookies-sales-la-platine.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine — surveillance qualité source
8,,Crackers manioc Sainte-Anne,02_product-8_crackers-manioc-sainte-anne.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/02_product-8_crackers-manioc-sainte-anne.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine
155,,Shrub agrumes créole,06_product-155_shrub-agrumes-creole.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/06_product-155_shrub-agrumes-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine
163,,Mix beignets manioc,14_product-163_mix-beignets-manioc.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/14_product-163_mix-beignets-manioc.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine — surveillance qualité source
183,,Chips banane plantain salées,22_product-183_chips-banane-plantain-salees.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/22_product-183_chips-banane-plantain-salees.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine
187,,Marinade jerk authentique,26_product-187_marinade-jerk-authentique.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/26_product-187_marinade-jerk-authentique.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine
,CK-MO-031,Marinade jerk citron vert,31_ck-mo-031_marinade-jerk-citron-vert.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/31_ck-mo-031_marinade-jerk-citron-vert.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine
,CK-MO-033,Palettes coco vanille,33_ck-mo-033_palettes-coco-vanille.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/33_ck-mo-033_palettes-coco-vanille.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine — surveillance qualité source
,CK-MO-034,Chips patate douce créole,34_ck-mo-034_chips-patate-douce-creole.png,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/34_ck-mo-034_chips-patate-douce-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,RETRAIT_ALPHA_MOA — retour v1.1 image pleine
